,repo,y,forks_count,is_link_in_description,doc_terms_in_readme,png_count,avg_folder_depth,md_count,html_count,doc_in_description_or_title,hw_terminology_file_or_dir_names,hw_in_description_or_title,file_folder_ratio,is_io_page,avg_entropy,repo_size,intro_or_course_in_description_or_title,pdf_count,up_to_dateness,watcher_count,source_code_file_ratio,website_in_description_or_title,open_issue_count,file_count,edu_mail_ratio,hw_terminology_commits
0,https://github.com/briantemple/homeworkr,DEV,2,0,0,0.007246376811594203,2.606060606060606,0.0,0.028985507246376812,0,13,3,3.0,0,0.5212971456481192,226,0,0.0,156615801.189799,6,0.5144927536231884,0,0,138,0.0,7
1,https://github.com/spring-projects/spring-boot,DEV,9208,0,0,0.0018810251587114979,8.118290258449305,0.0,0.017634610862920293,0,8,0,1.4510406004776526,0,0.6110450816654757,47573,0,0.0,4033.105164,9730,0.7585233952504115,0,568,4253,0.007633587786259542,35
2,https://github.com/facebook/react,DEV,10557,0,12,0.07599629286376275,3.1913043478260867,203.0,0.04170528266913809,0,0,0,5.9944444444444445,0,0.6461524578673645,112942,0,0.0,36782.274063,58168,0.48007414272474513,0,695,1079,0.006829268292682927,63
3,https://github.com/nodegit/nodegit,DEV,362,0,49,0.0,4.773648648648648,19.0,0.0,0,1,0,9.119891008174386,0,0.62851857597542,29240,0,0.0,215164.990888,2395,0.43143113235733493,0,163,3347,0.016129032258064516,3
4,https://github.com/scipy/scipy,DEV,1638,0,38,0.012027491408934709,4.786127167630058,0.0,0.000859106529209622,0,0,0,9.948717948717949,0,0.5595389573613598,66082,0,0.000429553264604811,10631.295509,2825,0.38316151202749144,0,948,2328,0.06521739130434782,53
5,https://github.com/spez/RottenTomatoes,HW,0,0,5,0.0,2.6875,3.0,0.0,0,0,1,4.466666666666667,0,0.6263127138150778,2064,0,0.0,82672191.068096,0,0.21641791044776118,0,1,134,0.0,0
6,https://github.com/m2mtech/calculator-2015,HW,25,0,0,0.23076923076923078,2.25,1.0,0.0,0,0,0,2.1666666666666665,0,0.6409332625629004,518,0,0.0,18685091.245035,71,0.3076923076923077,0,1,26,0.0,76
7,https://github.com/bcaffo/751and2,HW,25,0,0,0.20224719101123595,1.8,16.0,0.08426966292134831,0,11,0,8.090909090909092,0,0.8009733118346846,16773,0,0.09550561797752809,35873673.115393,7,0.0056179775280898875,0,2,178,0.0,2
8,https://github.com/HPI-SWA-Teaching/SWT16-Project-08,HW,5,0,1,0.0,3.8636363636363638,27.0,0.0,0,12,0,6.64,0,0.5350898035645462,328,0,0.0,8422508.316946,0,0.0,0,0,498,0.0,1
9,https://github.com/uwhpsc-2016/example-python-homework,HW,7,0,0,0.0,1.0,1.0,0.0,0,1,3,2.3333333333333335,0,0.49422375637390575,7,0,0.0,24779867.452712,0,0.5714285714285714,0,4,7,0.0,2
10,https://github.com/DataScienceSpecialization/courses,EDU,23456,1,11,0.3045730166750884,7.312017640573319,235.0,0.04080343607882769,0,3,0,5.425633995887594,0,0.7531254905467999,1083379,3,0.00025265285497726126,10327508.085603,2391,0.4113188479029813,0,89,7916,0.06666666666666667,9
11,https://github.com/githubteacher/intro-november-2015,EDU,22,0,2,0.0,1.0,20.0,0.0,0,2,0,14.5,0,0.4884499886768733,999,2,0.0,36232738.912298,13,0.034482758620689655,0,45,29,0.0,4
12,https://github.com/alex/what-happens-when,EDU,942,0,0,0.0,1.0,0.0,0.0,0,0,0,1.5,0,0.397463945624839,194,0,0.0,857687.899437,13174,0.0,0,91,3,0.04225352112676056,1
13,https://github.com/MostlyAdequate/mostly-adequate-guide,EDU,780,0,6,0.2054794520547945,3.2857142857142856,19.0,0.0136986301369863,0,20,0,3.3181818181818183,0,0.7253101586250285,4319,0,0.0,1054831.683208,10344,0.3150684931506849,0,39,73,0.0,32
14,https://github.com/AllThingsSmitty/jquery-tips-everyone-should-know,EDU,439,0,0,0.0,1.7142857142857142,8.0,0.0,0,0,0,3.3333333333333335,0,0.5959334102632533,252,0,0.0,11291251.369915,3845,0.6666666666666666,0,3,30,0.0,0
15,https://github.com/CMSgov/HealthCare.gov-Styleguide,DOCS,22,0,24,0.050314465408805034,2.1538461538461537,4.0,0.012578616352201259,0,2,0,9.352941176470589,0,0.6812238869161732,40862,0,0.0,16827658.825998,35,0.018867924528301886,0,5,159,0.0,0
16,https://github.com/github/maturity-model,DOCS,8,0,1,0.14285714285714285,1.0,2.0,0.0,0,1,0,2.3333333333333335,0,0.5649587047583563,1623,0,0.0,21432666.836616,24,0.0,0,1,7,0.0,1
